make,model,model_variant,color,carType,city,drive,manufacture_month,manufacture_year,mileage,mileage_unit,type,price_on_request,zip,country,currency,fuel_consumption_unit,condition
Mercedes,E 320,MERCEDES-BENZ E 320 Elégance 4-Matic,Other,Limousine,Zuzwil,Allrad,1,1999,31900.0,Km,car,"",null,null,null,null,null
Lamborghini,"",LAMBORGHINI Espada GT 400 Serie 3,Other,Coupé,Zuzwil,Hinterradantrieb,4,1973,48000.0,Km,car,"",null,null,null,null,null
Ferrari,F360,FERRARI F360 Modena Berlinetta,Blue,Coupé,Zuzwil,Hinterradantrieb,2,2004,42600.0,Km,car,"",null,null,null,null,null
Alfa Romeo,8C,ALFA ROMEO 8C,Silver,Cabriolet,Porrentruy,Hinterradantrieb,4,2011,23900.0,Km,car,"",null,null,null,null,null
BMW,2002,BMW 2002 Turbo,Silver,Limousine,Zuzwil,Hinterradantrieb,3,1974,97100.0,Km,car,"",null,null,null,null,null
Datsun,"",DATSUN SPORTS 2000,Silver,Cabriolet,Zuzwil,null,7,1969,23300.0,Km,car,"",null,null,null,null,null
Audi,A8,AUDI A8 4.2 quattro,Silver,Limousine,Zuzwil,Allrad,1,1997,66300.0,Km,car,"",null,null,null,null,null
Lamborghini,GALLARDO,LAMBORGHINI Gallardo 5.0 V10 Coupé SE,Silver,Coupé,Zuzwil,Allrad,1,2006,20000.0,Km,car,"",null,null,null,null,null
Mercedes,280,MERCEDES-BENZ 280 3.5 V8 Cabrio,Silver,Cabriolet,Sursee,null,2,1971,500.0,Km,car,"",null,null,null,null,null
Mercedes,SL 320,MERCEDES-BENZ SL 320,Silver,Cabriolet,Zuzwil,Hinterradantrieb,7,1996,156800.0,Km,car,"",null,null,null,null,null
Porsche,CAYENNE,PORSCHE Cayenne Turbo,Silver,SUV / Geländewagen,Zuzwil,Allrad,4,2004,91600.0,Km,car,"",null,null,null,null,null
BMW,745,BMW 745i,Silver,Limousine,Zuzwil,Hinterradantrieb,12,2004,27600.0,Km,car,"",null,null,null,null,null
Porsche,911,PORSCHE 911 Carrera 2 RS,Silver,Coupé,Zuzwil,Hinterradantrieb,1,1992,123000.0,Km,car,"",null,null,null,null,null
Porsche,911,PORSCHE 911 Carrera 4 Cabrio TECHART,Blue,Cabriolet,Zuzwil,Allrad,5,1999,80400.0,Km,car,"",null,null,null,null,null
Mercedes,E 55 AMG,MERCEDES-BENZ E 55 AMG Avantgarde,Silver,Limousine,Zuzwil,Hinterradantrieb,11,2002,53800.0,Km,car,"",null,null,null,null,null
Audi,RS6,AUDI RS6 Avant quattro,Silver,Kombi,Zuzwil,Allrad,12,2002,47400.0,Km,car,"",null,null,null,null,null
Lamborghini,DIABLO,LAMBORGHINI Diablo 5.7 VT,Silver,Coupé,Zuzwil,Allrad,8,1993,14990.0,Km,car,"",null,null,null,null,null
Mercedes,"",MERCEDES-BENZ 300SL Roadster,Silver,Cabriolet,Sursee,null,3,1960,1000.0,Km,car,"",null,null,null,null,null
Alfa Romeo,8C,ALFA ROMEO 8C Coupé,Silver,Coupé,Zuzwil,Hinterradantrieb,3,2008,37000.0,Km,car,"",null,null,null,null,null
Mercedes,ML 400,MERCEDES-BENZ ML 400 CDI,Silver,SUV / Geländewagen,Zuzwil,Allrad,11,2002,87800.0,Km,car,"",null,null,null,null,null
VW,GOLF,VW Golf 2.0 TFSI GTI,Silver,Limousine,Zuzwil,Vorderradantrieb,2,2007,87000.0,Km,car,"",null,null,null,null,null
VW,JETTA,VW Jetta 2.0 TDI Comfort,Silver,Limousine,Zuzwil,Vorderradantrieb,3,2009,33500.0,Km,car,"",null,null,null,null,null
Mercedes,190,MERCEDES-BENZ 190 E 2.5-16 ABS,Silver,Limousine,Zuzwil,Hinterradantrieb,1,1989,198000.0,Km,car,"",null,null,null,null,null
